entity_id,company_name,ssn_tax_id,address_line1,country_code,duns
A001,Global Management Solutions Incorporated,123456781,101 Market Street,US,987654321
A002,Enterprise Resolution Services Corporation,123456782,205 Technology Avenue,US,987654322
A003,Advanced Analytical Systems Limited,123456783,310 Finance Boulevard,GB,987654323
A004,Customer Relationship Management LLC,123456784,415 Business Road,US,987654324
A005,Digital Operational Services Group,123456785,520 Innovation Drive,US,987654325
A006,Cloud Computing Technologies Inc.,123456786,625 Enterprise Avenue,US,987654326
A007,Financial Transaction Services Holdings,123456787,730 Finance Street,US,987654327
A008,Supply Chain Planning Solutions Ltd.,123456788,835 Logistics Road,GB,987654328
A009,Customer Support Services Corporation,123456789,940 Service Avenue,US,987654329
A010,Enterprise Security Operations Company,223456781,1045 Cyber Park,US,987654330
A011,Data Quality Improvement Technologies,223456782,115 Data Center Drive,US,987654331
A012,Business Intelligence Reporting Services LLP,223456783,220 Analytics Boulevard,US,987654332
A013,Product Information Systems Incorporated,223456784,325 Commerce Street,US,987654333
A014,Document Processing Solutions Corporation,223456785,430 Workflow Avenue,US,987654334
A015,Revenue Forecasting Services Group,223456786,535 Finance Drive,US,987654335
A016,Identity Verification Solutions Private Limited,223456787,640 Security Road,IN,987654336
A017,Vendor Relationship Services Corporation,223456788,745 Procurement Avenue,US,987654337
A018,Payment Reconciliation Solutions Limited,223456789,850 Payment Street,GB,987654338
A019,Enterprise Governance Systems Holdings LLC,323456781,955 Governance Boulevard,US,987654339
A020,Operational Performance Solutions Inc.,323456782,1060 Operations Drive,US,987654340
