entity_id,company_name,ssn_tax_id,address_line1,country_code,duns
A1,Bank of America Group,123456789,100 Main St,US,123456789
A10,Shell International B.V. Company,147258369,Carel van Bylandtlaan 30,NL,141516171
A2,Apple Holdings,987654321,1 Infinite Loop,US,999999999
A3,Global Bank Partners,456789123,20 Oak Ave,CA,555444333
A4,Northwind Capital,321654987,88 Pine Rd,GB,777888999
A5,Johnson and Johnson Enterprises,456123789,450 Park Ave,US,444555666
A6,Amazon Europe Sarl Solutions,789321654,38 Avenue de l'Opera,FR,111222333
A7,HSBC Holdings LLC,258963147,8 Canada Square,GB,333444555
A8,Microsoft Ireland Operations Corporation,654987321,70 Sir John Rogerson's Quay,IE,888999111
A9,Deutsche Bank AG Limited,369258147,Taunusanlage 12,DE,101112131
