entity_id,company_name,ssn_tax_id,address_line1,country_code,duns
A001,The Alpha and Omega Holdings,123456781,101 Market Street,US,987654321
A002,Global Bank of Finance Group,123456782,205 Financial Avenue,US,987654322
A003,The Northern and Western Partners,123456783,310 Harbor Street,US,987654323
A004,Capital of Growth Investments,123456784,415 Commerce Boulevard,US,987654324
A005,The Blue and Green Technologies,123456785,520 Innovation Drive,US,987654325
A006,United Services for Business,123456786,625 Enterprise Road,US,987654326
A007,The Golden and Silver Corporation,123456787,730 Corporate Avenue,US,987654327
A008,Center of Digital Solutions,123456788,835 Technology Street,US,987654328
A009,The Prime and Core Consulting Group,123456789,940 Business Park,US,987654329
A010,National Bank of Commerce,223456781,1040 Commerce Street,US,987654330
A011,The Horizon and Summit Enterprises,223456782,115 Innovation Avenue,US,987654331
A012,Alliance of Financial Services,223456783,220 Finance Street,US,987654332
A013,The Metro and Urban Holdings,223456784,325 City Center Drive,US,987654333
A014,Future Systems for Innovation,223456785,430 Research Boulevard,US,987654334
A015,The Eagle and Falcon Industries,223456786,535 Industrial Road,US,987654335
A016,Network of Global Solutions,223456787,640 Technology Avenue,US,987654336
A017,The Sunrise and Sunset Ventures,223456788,745 Venture Street,US,987654337
A018,United Partners of America,223456789,850 Liberty Avenue,US,987654338
A019,The Diamond and Pearl Corporation,323456781,955 Pearl Street,US,987654339
A020,Foundation for Modern Development,323456782,1060 Development Drive,US,987654340
